"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2583","Idempotency - same order sent twice produces only one event","","2026-07-02","passed","2026-07-02","","","",""
"","2568","Offset replay - consumer reads from earliest offset","","2026-07-02","passed","2026-07-02","","","",""
"","23","Regex and conditional validation","","2026-07-02","passed","2026-07-02","","","",""
"","11","Transfer 400 for amount 50.00","","2026-07-02","passed","2026-07-02","","","",""
"","11","Update account email successfully","","2026-07-02","passed","2026-07-02","","","",""
"","14","Get account by ID - success","","2026-07-02","passed","2026-07-02","","","",""
"","101","Generate unique transfer payload at runtime","","2026-07-02","passed","2026-07-02","","","",""
"","24","Count total events in MongoDB","","2026-07-02","passed","2026-07-02","","","",""
"","570","Validate full order lifecycle - Created to Paid","","2026-07-02","passed","2026-07-02","","","",""
"","2596","Full order flow - API to Kafka event validation","","2026-07-02","passed","2026-07-02","","","",""
"","24","Partial match - match response contains","","2026-07-02","passed","2026-07-02","","","",""
"","10","Get account - verify schema","","2026-07-02","passed","2026-07-02","","","",""
"","8","Transfer 201 for amount 0.01","","2026-07-02","passed","2026-07-02","","","",""
"","58","Apply for personal loan - full happy path (5 steps)","","2026-07-02","passed","2026-07-02","","","",""
"","14","Transfer 201 for amount 100.00","","2026-07-02","passed","2026-07-02","","","",""
"","9","Missing required fields returns 400","","2026-07-02","passed","2026-07-02","","","",""
"","169","Validate ORDER_CREATED event stored in MongoDB","","2026-07-02","passed","2026-07-02","","","",""
"","272","Create new savings account successfully","","2026-07-02","passed","2026-07-02","","","",""
"","25","Validate Kafka metadata stored correctly in MongoDB","","2026-07-02","passed","2026-07-02","","","",""
"","21","Validate QuickMart Cash API schema","","2026-07-02","passed","2026-07-02","","","",""
"","12","Get account - verify currency","","2026-07-02","passed","2026-07-02","","","",""
"","15","Response header validation","","2026-07-02","passed","2026-07-02","","","",""
"","24","Find events missing Kafka metadata","","2026-07-02","passed","2026-07-02","","","",""
"","15","Successful transfer returns 201 with PENDING status","","2026-07-02","passed","2026-07-02","","","",""
"","56","Partition routing - same customerId always goes to same partition","","2026-07-02","passed","2026-07-02","","","",""
"","576","Validate ORDER_CREATED event type routing","","2026-07-02","passed","2026-07-02","","","",""
"","12","Transfer to same account returns 400","","2026-07-02","passed","2026-07-02","","","",""
"","4363","Send HTTP call and validate Kafka event produced","","2026-07-02","passed","2026-07-02","","","",""
"","18","Freeze account successfully","","2026-07-02","passed","2026-07-02","","","",""
"","21","Type validation - #string #number #boolean #notnull","","2026-07-02","passed","2026-07-02","","","",""
"","16","Validate event audit trail for order","","2026-07-02","passed","2026-07-02","","","",""
"","12","Insufficient funds returns 422","","2026-07-02","passed","2026-07-02","","","",""
"","10","Update non-existent account returns 404","","2026-07-02","passed","2026-07-02","","","",""
"","10","Transfer 201 for amount 50.50","","2026-07-02","passed","2026-07-02","","","",""
"","12","Negative test - error response schema validation","","2026-07-02","passed","2026-07-02","","","",""
"","15","Find DLQ events - failed transactions","","2026-07-02","passed","2026-07-02","","","",""
"","16","Create account with missing required fields returns 400","","2026-07-02","passed","2026-07-02","","","",""
"","11","Create account with invalid currency returns 400","","2026-07-02","passed","2026-07-02","","","",""
"","2573","DLQ Flow - Failed order goes to Dead Letter Queue","","2026-07-02","passed","2026-07-02","","","",""
